Sim(Core)	Lobe	B Band	LogM 	R_Index	LogRF
44.0	43.7	52.4	9.3	-0.74	0.33
41.7	39.3	49.8	9.6	-0.47	2.37
44.5	44.0	53.0	8.4	-0.81	0.49
45.1	44.6	53.4	9.6	-0.66	0.50
38.9	38.4	47.2	7.4	-0.75	0.43
50.2	48.9	58.4	7.6	-0.58	1.28
51.6	50.6	59.5	9.9	-0.29	0.98
41.5	41.0	50.0	8.2	-0.92	0.46
49.7	49.1	58.4	7.4	-1.13	0.55
46.2	45.7	54.4	8.6	-0.64	0.51
47.1	46.6	54.7	8.6	0.00	0.52
53.7	53.1	62.4	8.7	-1.11	0.59
44.6	44.4	52.9	8.2	-0.70	0.21
47.3	45.4	55.6	8.5	-0.70	1.91
36.9	36.5	44.8	8.8	-0.22	0.41
39.0	38.6	47.1	9.0	-0.47	0.43
37.4	37.0	45.8	7.5	-0.75	0.41
31.8	31.4	40.2	8.1	-0.78	0.35
38.6	37.8	46.3	7.4	-0.10	0.79
44.0	43.5	52.7	9.7	-1.04	0.48
39.4	39.1	47.7	8.7	-0.67	0.28
36.3	35.9	44.7	8.5	-0.83	0.40
53.5	53.0	61.4	10.0	-0.24	0.59
34.6	34.2	42.7	7.8	-0.55	0.38
46.1	45.5	53.7	7.6	0.01	0.51
38.7	38.3	47.3	8.9	-1.02	0.43
45.1	44.6	53.4	9.1	-0.63	0.50
40.5	40.1	49.3	8.5	-1.21	0.45
41.0	40.6	49.9	8.3	-1.22	0.45
41.5	41.1	49.5	7.9	-0.39	0.38
45.4	44.9	53.6	10.2	-0.55	0.50
57.8	57.2	66.8	9.0	-1.41	0.64
38.4	37.9	46.8	10.1	-0.79	0.42
40.3	39.9	48.7	7.1	-0.76	0.44
39.2	38.8	47.7	6.8	-0.91	0.43
42.3	41.9	50.7	8.3	-0.77	0.47
44.9	44.0	52.3	9.0	0.23	0.89
33.8	33.4	41.5	8.5	-0.03	0.37
41.4	40.9	49.9	9.2	-0.87	0.46
34.6	34.2	42.9	6.3	-0.67	0.38
37.0	36.6	45.4	8.5	-0.80	0.41
